93: JoeySindelar -1.507689; 90% interval: (-2.043893, -0.969270)
94: HarrisonFrazar -1.507518; 90% interval: (-2.214894, -0.879015)
95: JoseMariaOlazabal -1.506925; 90% interval: (-2.237737, -0.763113)
96: BrettQuigley -1.495138; 90% interval: (-2.046458, -0.987391)
97: IanPoulter -1.483102; 90% interval: (-2.554633, -0.611201)
98: SkipKendall -1.455956; 90% interval: (-2.015458, -0.921047)
99: J.L.Lewis -1.452414; 90% interval: (-2.036160, -0.906295)
100: MattGogel -1.450461; 90% interval: (-2.060178, -0.850484)
101: AlexCejka -1.450339; 90% interval: (-2.072941, -0.776001)
102: ToddHamilton -1.445315; 90% interval: (-1.984049, -0.786630)
103: TimWilkinson -1.435266; 90% interval: (-3.582406, 0.719429)
104: HidemichiTanaka -1.424929; 90% interval: (-2.044423, -0.860741)
105: JoseCoceres -1.424870; 90% interval: (-2.128646, -0.737516)
106: WoodyAustin -1.419959; 90% interval: (-1.995777, -0.882426)
107: DougBarron -1.416515; 90% interval: (-3.467852, 0.870770)
108: S.K.Ho -1.412520; 90% interval: (-3.075353, 0.321257)
109: RobertGamez -1.404804; 90% interval: (-1.941168, -0.855082)
110: PeterJacobsen -1.396884; 90% interval: (-2.502015, -0.222978)
111: PaulStankowski -1.392706; 90% interval: (-2.179036, -0.575247)
112: PatrickSheehan -1.391557; 90% interval: (-1.975845, -0.843812)
113: BartBryant -1.384588; 90% interval: (-1.996812, -0.767608)
114: BrianGay -1.382069; 90% interval: (-1.904613, -0.884332)
115: JamesH.McLean -1.378181; 90% interval: (-3.475509, 0.724813)
116: JohnRiegger -1.377202; 90% interval: (-2.137196, -0.614329)
117: JonathanKaye -1.369452; 90% interval: (-2.057747, -0.700200)
118: MarkO'Meara -1.349153; 90% interval: (-2.026468, -0.608236)
119: BrandtJobe -1.347311; 90% interval: (-2.299526, -0.484077)
120: CraigParry -1.345689; 90% interval: (-2.187739, -0.509663)
121: LeeWestwood -1.337476; 90% interval: (-2.279961, -0.438086)
122: PeterLonard -1.330992; 90% interval: (-1.969281, -0.669206)
123: DudleyHart -1.325506; 90% interval: (-2.029985, -0.690780)
124: CraigBarlow -1.312340; 90% interval: (-1.914818, -0.683630)
125: JasonBohn -1.308818; 90% interval: (-1.858549, -0.710271)
126: EduardoRomero -1.300244; 90% interval: (-2.603709, -0.125578)
127: DavidHowell -1.293686; 90% interval: (-3.529143, 1.074808)
128: MarcoDawson -1.275937; 90% interval: (-2.376706, -0.008555)
129: BrettRumford -1.273921; 90% interval: (-3.435437, 1.178227)
130: NealLancaster -1.269668; 90% interval: (-1.805269, -0.772934)
131: CraigStadler -1.256207; 90% interval: (-2.358606, -0.071629)
132: KentJones -1.251103; 90% interval: (-1.750500, -0.742060)
133: JonathanByrd -1.250244; 90% interval: (-1.815281, -0.698420)
134: DanielChopra -1.244941; 90% interval: (-1.750616, -0.683244)
135: ThomasLevet -1.241718; 90% interval: (-2.664235, 0.229028)
136: RyanMoore -1.232711; 90% interval: (-3.152201, 1.085092)
137: VaughnTaylor -1.224246; 90% interval: (-1.813714, -0.688555)
138: GlenDay -1.218041; 90% interval: (-1.745420, -0.665203)
139: ScottMcCarron -1.203961; 90% interval: (-1.830061, -0.634457)
140: WayneLevi -1.202588; 90% interval: (-3.277813, 0.992919)
141: JustinHicks -1.200186; 90% interval: (-3.176940, 0.812113)
142: TrevorImmelman -1.191459; 90% interval: (-2.277497, -0.230374)
143: JohnHuston -1.167431; 90% interval: (-1.912341, -0.464949)
144: JasonHartwick -1.147314; 90% interval: (-2.890454, 0.484815)
145: KevinNa -1.144629; 90% interval: (-1.649874, -0.608019)
146: NotahBegayIII -1.143582; 90% interval: (-1.731158, -0.557940)
147: PaulGoydos -1.136155; 90% interval: (-2.928626, 0.568956)
148: JohnRollins -1.132223; 90% interval: (-1.770831, -0.430710)
149: HeathSlocum -1.123661; 90% interval: (-1.664011, -0.576448)
150: FranklinLangham -1.066525; 90% interval: (-3.218235, 1.008649)
151: PatPerez -1.064233; 90% interval: (-1.562999, -0.534262)
